,title,userName,rating,review,date,isEdited,developerResponse
10,Скупердяи,Ew3nmorn,1,"Деньги за всё снимают , за уведомления , за оповещения, такими темпами хочется от вас уйти к другим банкам , монополисты херовы",2020-08-15 13:33:21,False,
11,СМС при входе,Kruperfone,1,"Когда вы уже перестанете отправлять смс при каждом открытии приложения??
Мне надоело открывать банк, заходить в сообщения и переключаться обратно на банк каждый раз

Также нельзя пополнить счет с карты другого банка из приложения. А при отправке денег с карты другого банка они идут 3 (!!!) дня. Постоянно приходится идти к банкомату и повторять процедуру: снять деньги с карты другого банка, положить деньги на карту сбербанка",2017-04-25 04:52:16,False,
12,Спасибо за Apple Pay!,Brongard,5,"Молодцы, наконец-то добавили поддержку Apple Pay для карт Visa. Очень рад, давно ждал. Спасибо. Приложением пользуюсь регулярно. Ещё бы сотрудников на местах обновить и пропатчить :)",2017-04-25 06:53:33,False,
13,"***плеты вы, вот кто.",Хатч,1,"Вроде был норм банк, пока не сделали комиссию за переводы, черти. Лучше буду деньги в наличке хранить чем в вашем обоссаном банке.",2020-05-31 09:01:04,False,
14,Вопрос,Nintashi,5,Будет ли Apple Pay для visa electron или не ждать?,2017-04-25 06:38:48,False,"{'id': 214896, 'body': 'К сожалению, Visa Electron не поддерживается  Apple Pay на территории России, вы можете оформить любую карту уровня Classic и выше, в том числе моментально и бесплатно Visa Classic Momentum', 'modified': '2017-04-25T19:50:30Z'}"
15,Греф сколько можно обдирать людей,star_boys,1,"Сделали комиссию на переводы внутри региона. Ну не уроды?! И не нужно мне писать, что вы отменили банковский роуминг, вы его сделали ещё хуже! Самый ужасный банк, хуже быть не может. Просто облапошиваете людей!",2020-05-30 14:10:32,True,"{'id': 5033815, 'body': 'Спасибо за предложение! Мы уже работаем над этим.', 'modified': '2020-05-30T14:10:32Z'}"
16,Не могу отслеживать,Slavenciya,1,"Как по мне, так приложение с этими обновлениями стало ужасным!!! Нельзя нормально отследить историю списаний и перечислений, они очень часто меняются местами. Смотришь за один день, а туда каким-то образом попадают операции из другого дня.",2018-11-14 10:25:21,False,
17,Комиссии за перевод внутри банка,Fhggdrfj,1,"Буду переходить в другой банк и не надо рассказывать мне про ваши тарифы за переводы, сама суть этой комиссии возмутительна, особенно в такой сложной период, желаю вам зачахнуть за такое отношение к клиентам!",2020-06-24 22:25:48,False,"{'id': 16206680, 'body': 'Раньше за переводы в другие регионы списывалась комиссия, сейчас до 50000 рублей в месяц можно переводить бесплатно, а затем продлить подписку, которая тоже позволит экономить.\nПодробнее на сайте: https://www.sberbank.ru/ru/person/remittance/perevod_rus', 'modified': '2020-06-25T05:18:44Z'}"
18,Монетизируем всё,qqmydarling,2,"Банк пытается заработать на всём, что только можно придумать.
Не хочешь платить комиссию за перевод? Купи подписочку 🙂
Хочешь получать push сообщения? Плати ежемесячно 🙃
Нет, мне не жалко заплатить условные 200руб в месяц, но, что будет дальше? Сделаете приложение платным?
По использованию, сравнивая с А-банком, в приложении Сбера очень много лишнего и ненужного функционала, но, опять же, он сделан исключительно ради монетизации пользователей 🙂",2020-08-15 07:21:07,False,"{'id': 17380354, 'body': 'Хотим пояснить. Раньше перевод любой суммы в другой регион был с комиссией. Сейчас переводы внутри банка до 50 000 рублей в месяц бесплатные.\nЛимит можно увеличить с помощью выгодной подписки.\nОплачивается не тип оповещения (Push или СМС), а сама услуга уведомлений. Подробнее о тарифах на сайте: https://www.sberbank.ru/common/img/uploaded/files/pdf/tarifi.pdf\nПредоставляем все возможные на данный момент сервисы для удобства всех наших клиентов ❤', 'modified': '2020-08-19T14:09:18Z'}"
19,Отвратительный банк,sunlolzzz,1,"Раньше пользовался только сбером, теперь стараюсь избавиться от него, перешёл в другие, не менее известные банки. Брать деньги за то, что должно предоставляться бесплатно - это конечка. Нищенские проценты по вкладам; тех поддержка уровня «сразу блокируем карту, а не разбираемся»; плОти деньги за каждое уведомление и перевод.",2020-08-15 02:59:04,False,"{'id': 17382149, 'body': 'Сейчас можно открыть вклад с повышенной ставкой ""Встречай осень"". Подробнее об условиях на сайте: https://www.sberbank.ru/ru/person/contributions/depositsnew\nМожем проверить качество обслуживания. Напишите, пожалуйста, подробности обращения в банк, ваши ФИО, дату рождения, номер телефона на zabota@sberbank.ru с темой ""sunlolzzz appstore"".', 'modified': '2020-08-19T15:31:03Z'}"
20,Не могу скачать на айфон 6,shae21071,5,"Не могу скачать Сбербанк онлайн на айфон 6,что делать?",2021-08-14 18:12:17,False,"{'id': 24528833, 'body': 'Здравствуйте! Уточните, какая у вас версия iOS? Правильно понимаем, что при попытке установки появляется уведомление, что необходимо iOS 13?', 'modified': '2021-08-16T11:33:11Z'}"
21,Дизайн,pargev1993,1,"Дизайн убог. Не могу это видеть.
Логотип
Сам стиль оформления напоминает детский сад. Посмотрите на строгость в дизайне приложения альфы. Цветовая палитра и логотип. Вот основные ужасы дизайна. Руки этим дизайнерам перепрошить надо. Зря ЗП платит Сбер. И да, если все называют Сбербанк сбором - это не повод переименовываться. А то есть ещё Спер.. Не думаю, что в угоду клиентам откроете банк доноров. Хотя кто знает. Суть думаю ясна.",2020-09-27 18:23:37,True,"{'id': 18124994, 'body': 'Мы так не считаем. Напишите, что вам не понравилось в новом дизайне?', 'modified': '2020-09-27T18:23:37Z'}"
22,Плохо! Хуже не бывает!,шшшшшупетт,5,Полный зашквар! Отвратительно! Только в сбере за оплату коммуналки через онлайн приложение берут комиссию((((,2019-09-17 16:58:37,False,
23,Лучше закройтесь,alx_els,1,"Добрый день, вы предложили вас оценить, ну что же, неспрашивая уходят деньги, комиссия на все, ваши бонусы спасибо только чтобы травануться в бургер кинге, имел опыт с вами работать, перешёл на Тиньков и бед не знаю, спасибо за столь печальный стаж работы с говнобанком 🙋",2020-09-23 15:42:24,False,"{'id': 18109985, 'body': 'Деньги не могут быть списаны без вашего подтверждения, о комиссии можно забыть, оформив подписку в приложении (https://www.sberbank.ru/ru/person/remittance/perevod_rus_rus), а партнеры бонусов Спасибо постоянно растут (посмотреть: https://spasibosberbank.ru/partners).', 'modified': '2020-09-26T04:39:18Z'}"
24,Тормозит,Roman Che,4,"Ребята. Я всё понимаю. И смайлики, и открытки, и кружева и вензеля. Пожалуйста, перестаньте утяжелять и напихивать в приложение ненужные рюши. Представьте, вам что-то надо купить, перекинуть денег итд, но чтобы приложение открылось и загрузилось, надо секунд 10!!! Потом надо пролистнуть ваши нескончаемве предложения. Бесит это уже.  Приложение было прекрасным. Я понимаю, что «свыше» хотят, чтобы люди как можно больше его использовали, как можно больше в нем инициировали контактов, взаимосвязей итд. Не надо жадничать. Просто поймите, что оно уже тормозит. Адски. Было эе прекрасное приложение, зачем нагружать его до такой степени? Это же для денег, для серьёзных операций, ну какие еще открытки? У меня есть кще один такой тормоз - инстаграм. Но с ним всё понятно, там щенята и попы посмотреть, но вы то зачем туда-же лезете, ну?? Серьезная же контора вроде.

Сделайте в настройках возможность ОТКЛЮЧИТЬ ненужные предложения, фичи итд. Просто ради скорости работы. iPhone 6, iOS11/12 (стал тупить на обеих)",2018-10-30 06:58:40,False,
25,Говнобанк,Massimo Che,1,"Греф ты жадный, плохой руководитель!Закрывайте господа счета, пусть эти упыри обслуживают сами себя!Платные пуш... это нужно додуматься!",2020-08-14 19:31:30,False,
26,УЖАСНЫЙ ЛОГОТИП,defass90,1,"Зачем было менять логотип? У вас, что мало клиентов или как? Прежний  был такой примечательный и отличный от других
Все испортили, как всегда",2020-09-27 19:05:21,False,
27,Это теперь таск трекер? 🤦‍♂️,Немо 953647,3,"Нормальный же был значок, уникальный и понятный. А теперь украли у ТикТика и TodoCloud, покрасили в зеленый и хвастаетесь новым дизайном. В апсторе множество менеджеров задач с логотипом в виде галки, все привыкли к этому. Вы зачем позоритесь-то, дизайнеры?...",2020-09-27 19:21:23,False,
28,Зачем??,LQRD.ink,1,"Что бы вы понимали, у меня стёр просто удалил сам себя (я конечно понимаю что у меня айфон 6 все дела, старый там, но зачем?), просто потому что вышло обновление для 13 iOS и теперь он поддерживается только с этой версии. Не забываем про то, что по мере заполнения всякой фигней мобильный банк, он стал тормозить и вылетать, хотя так было не сразу, а только в последнее время. Главный вопрос, зачем наполнять, извините, МОБИЛЬНЫЙ БАНК, всякой ненужно информацией? Это уже не просто какие-то информационные дополнения, а натуральный рекламный баннер. Это конечно имхо, но всё-таки нужно думать что вы делаете и чем заполняете своё приложение. Хотите сделать его проще и удобнее? Так уберите тонну ненужного контента, и будет у вас больше положительных отзывов. А так, вы просто даёте возможность вашим клиентам перейти в другой банк где все намного проще и без всякой мишуры.
 В оправдание могу сказать, типо, ну круто, ну молодцы, что теперь вы не просто банк, а огромная площадка. И онлайн магазин, и доставка, и ассистент, все круто, базару 0. Но пожалуйста, делайте приложение для всего этого, отдельное. Если вы считаете что человек заходит в банк ради того, что бы заказать от туда что-то или ,ещё лучше, почитать интересные статьи ( коих на просторах интернета ещё больше), то вы не правы и глубоко заблуждаетесь.
 Прошу прислушиваться к своим пользователям. Да прибудет с вами сила.",2021-08-12 12:46:23,False,"{'id': 24504993, 'body': 'Здравствуйте!\nСпасибо за ваш подробный отзыв, примем к сведению. Если вам не интересны предложения от банка, то их можно отключить в настройках личного профиля. Что касается установки программы на iOS меньше чем 13, то уже решаем этот вопрос. Приносим извинения за неудобства🙏', 'modified': '2021-08-14T15:48:13Z'}"
29,Все хуже,Kcghggjgjghgbvgd,1,"Все хуже и хуже, потихоньку снимаю все вклады и думаю о переходе в другой банк",2020-08-15 03:03:23,False,"{'id': 17382091, 'body': 'Напишите, пожалуйста, из-за чего приняли такое решение? 😔', 'modified': '2020-08-19T15:25:33Z'}"
30,Оформление,saint_handles,1,"Ваша новая галочка настолько уродская что нет слов. Портит весь рабочий стол. Дизайном не доволен и я не один такой. Что за галочка ? Какие то выборы , галочка , нет слов",2020-09-25 10:10:03,False,
31,Обновление,darinka668,1,"Отвратительный дизайн. И иконка,и люди какие-то
Одно приложение уже испорчено,теперь испорчено и это. Не хочется пользоваться . Хоть автообновления отключены,всё равно обновилось.",2020-09-27 16:22:02,False,
32,Кошмар,Viki19961166,1,"Самый главный банк России сделал проценты на переводы, отказываюсь и перехожу в другой",2020-05-30 11:54:31,False,"{'id': 15674012, 'body': 'Большинство наших клиентов не совершают переводов на сумму более 50 000 рублей. Для них будет очень выгодно совершать небольшие переводы, в том числе и в другие регионы. Другие клиенты тоже почти не заметят разницы, так как размер комиссии не увеличится.', 'modified': '2020-05-31T06:30:44Z'}"
33,Помойное обновление,device88,1,Главный экран превратился в помойное ведро. Куча мусора. Куча рекламы. Куча спама. Где-то глубоко спрятался кусочек банковского приложения с балансом. Помойка а не приложение.,2021-04-28 07:57:03,False,"{'id': 22571750, 'body': 'Добрый день! Сожалеем, что сложилось такое впечатление 😔 В дальнейшем мы добавим возможность управления виджетами и кошельком. Отключить персональные предложения вы можете во всех настройках приложения.', 'modified': '2021-05-02T06:12:30Z'}"
34,«Нам наплевать на ваши отзывы»,-=Mr.Crow=-,1,"Уже сбился со счету какое обновление, а бесячую единичку в диалогах так и не починили. За то вкорячили бесполезные и не сворачиваемые истории и сменили лого. Размер приложение 253 МБ!🤦‍♂️ Да многие игры меньше места занимают.
Так держать! 5 баллов! Спрашивайте ещё наше мнение о вашем приложении. Оно же «важно» для вас.",2020-09-24 19:34:42,True,"{'id': 16976700, 'body': 'Мы прислушиваемся, но не всегда получается сделать все то, о чем просят.\nМы добавили в истории много удобных сервисов, например, частые платежи и переводы, вход в Анализ финансов, бонусы Спасибо, курсы валют и это не конец. Раздел очень полезный и позволит быстрее получать доступ к нужным функциям. Мы продолжим над ним работать, уже сейчас это меню - неотъемлемая часть приложения.\nС проблемой об уведомлении сообщения в диалоге знаем, работаем над исправлением, извините.\nНад вашими словами подумаем, спасибо за отзыв!', 'modified': '2020-09-24T19:34:42Z'}"
35,Во что превратили?,x3Va-34rs21tq,1,"Это приложение позволяет работать с финансами! Это не мессенджер, не Инстаграмм.. зачем вы это льёте туда.. в Москве связь прекрасно ловит везде, но вы думали хоть раз о регионах.. чтобы открыть Сбербанк необходимо ждать по 3 минуты , пока он прогрузит все истории, сообщения , и т.д. Потом уже загружает карты и балансы.. зачем? Выпустите тогда уже отдельное приложение , где только финансы , без мишуры. Серьезнее нужно быть.",2020-09-17 20:56:33,False,"{'id': 17963715, 'body': 'Сбербанк Онлайн - это не просто приложение для платежей и переводов, а нечто большее. Программа включает в себя многие важные функции, в ней можно оформить кредит, работать со счетами и вкладами, посмотреть курсы валют, заказать справки/выписки и многое другое. Мы постоянно оптимизируем и улучшаем приложение. Для его нормальной работы нужен хороший и стабильный интернет.', 'modified': '2020-09-19T05:33:05Z'}"
36,Кривое и глючное,alexeypegov,1,"Добавляют бесполезные и глючные функции, которые не скрыть и не убрать. Хорошо, что не основной для меня банк, но каждый раз, когда вынужден пользоваться, ругаюсь.

А еще нравится, как сбер пытается делать деньги буквально на всем, даже на пуш уведомлениях. Ну и особенно приятно обновление с подпиской на уведомления по кредитной истории за 299 р/месяц. Бизнесмены, чо.",2020-08-14 18:06:25,True,"{'id': 17143541, 'body': 'Уточните, что именно показалось неудобны в приложении? Что хотели бы изменить?', 'modified': '2020-08-14T18:06:26Z'}"
37,Я в шоке,Алексей Валов,1,"Делают из Сбербанконлайн мессенджер! 
Скорее всего буду переходить в другой банк",2019-02-20 02:52:16,False,"{'id': 7382739, 'body': 'С помощью сервиса ""Диалоги"" можно оперативно поблагодарить за перевод либо напомнить о долге. В последнем обновлении добавили возможность группового чата. Это облегчит сбор денег на какую-то совместную цель, например, на отдых за границей.', 'modified': '2019-02-20T12:47:14Z'}"
38,???,la_chinho,1,Хватит взымать комиссию за переводы внутри региона? Что за жесть?,2020-05-29 11:28:24,False,"{'id': 15664828, 'body': 'Мы отменили роуминг между регионами уже для многих клиентов банка, теперь тариф для всех единый при переводе в СБОЛ и по СМС.\nЗайдите на сайте и выберите свой регион в правом верхнем углу: https://www.sberbank.ru/ru/person/remittance/perevod_rus', 'modified': '2020-05-30T07:59:38Z'}"
39,Оптимизация?,justtAnthony,1,Приложение под 300 Мб. Вы чего туда напихали?,2020-09-24 11:12:17,False,"{'id': 18114300, 'body': 'Мы всегда следим за весом программы и, вводя новые сервисы, смотрим на то, как это отразится на размере. Учтем ваши комментарии, спасибо 🙂', 'modified': '2020-09-26T11:54:19Z'}"
40,"Господи, за что?!",Свет и Тьма,5,Боже мой. Что вы сделали с приложением? Что за ужасные блеклые грязные цвета? А логотип? Что это за галочка в кружочке? Кто эти горе-дизайнеры? Я хочу посмотреть им в лицо.,2020-09-27 05:23:05,False,
41,Здец(,Тагак,1,Дауны всандалили комиссию уже по всем фронтам.,2020-09-22 17:19:10,False,"{'id': 18080051, 'body': 'Комиссия списывается согласно тарифам и во многих случаях её можно избежать или уменьшить. Условия вы всегда можете посмотреть на нашем официальном сайте.', 'modified': '2020-09-24T15:44:34Z'}"
42,Уроды!,KabanOssy,1,"Когда ж вы подавитесь?! Я должен платить за уведомления, что вы дадите кому-то кредит вместо меня!!! Чмори!",2020-08-14 10:52:24,False,"{'id': 17297531, 'body': 'Мы всегда обеспечиваем безопасность ваших денег и не выдаём кредиты мошенникам — это никак не зависит от подписки на кредитную историю.\n\nОтчёты по истории хранятся в бюро кредитных историй: запросить отчёт может любой банк, а можете и вы сами. Чем хороша подписка: сразу узнаете, если кто-то запросит историю без вашего ведома, — не придётся время от времени покупать отчёт и самостоятельно проверять его.\n\nВаша общая кредитная история зависит не только от Сбербанка, и следить за ней полезно каждому. Подписка на историю помогает не вспоминать о том, что в этом мире есть разные недобросовестные организации, — о любых изменениях приходят уведомления. Мы же как банк делаем всё, чтобы ваши деньги всегда были в безопасности, и добавляем в приложение новые полезные сервисы.', 'modified': '2020-08-15T14:58:10Z'}"
43,НЕ ХРАНИТЕ ТУТ ДЕНЬГИ!,Никто никакой,1,"Все платное, лимиты на переводы без процентов самые маленькие,не банк а СТЫД!Внутри банка переводы С КОМИССИЕЙ!!не храните деньги в сбере!",2020-08-14 07:20:21,False,"{'id': 17374704, 'body': 'Раньше перевод любой суммы в другой регион был с комиссией. Сейчас переводы внутри банка до 50 000 рублей в месяц бесплатные. Такой лимит выбран неслучайно. Большинство наших клиентов, исходя из статистики, не переводят больше 50 000 рублей в месяц. При этом лимит можно увеличить с помощью выгодной подписки. Например, за 99 рублей можно оформить подписку «Плюс 50 000 рублей на переводы».\nПодробнее об этом на сайте: https://www.sberbank.ru/ru/person/remittance/perevod_rus', 'modified': '2020-08-19T09:43:34Z'}"
44,Дно пробито в очередной раз,Burik85,1,"О каких исправлениях и устойчивой работе приложения вы пишите? После обновления не отображается история операций, не доступны переводы на другие карты и это только первое с чем пришлось столкнуться.
Комиссия за переводы внутри банка!? Вы единственный банк с такой гнилью! Я еще в 2010 году первый раз с этим столкнулся, когда со своего счета, открытого в г. Ростов на Дону, переводил деньги на другой свой счет, открытый в г. Екатеринбург, и заплатил за это около 4 т.р. за сумму перевода 80 т.р.
Люди в комментариях вам пишут, что вы делаете все, чтобы потерять клиентов, а вы им отвечаете бестолковыми ответами, вместо того чтоб прислушаться и пойти на встречу. Вы еще введите комиссию на внесение наличных для полного счастья. Очень вам желаю потерять как можно больше клиентов с такой политикой работы.",2020-06-01 17:52:08,False,"{'id': 15716965, 'body': 'Хотим проверить причину недоступности Истории и переводов. Напишите нам, пожалуйста, подробности, подтверждающие скриншоты, ваши ФИО, дату рождения, модель телефона и версию прошивки на zabota@sberbank.ru с темой письма: ""Burik85 appstore"".\nЧто касается новых тарифов, то за переводы внутри банка онлайн и по смс до 50 000 рублей комиссии нет. Большинству наших клиентов это будет очень удобно. При необходимости лимит можно увеличить, подключив подписку. Подробнее на сайте: https://www.sberbank.ru/ru/person/remittance/perevod_rus?tab=rates', 'modified': '2020-06-02T06:20:05Z'}"
45,Visa,AlekseevAG,5,Спасибо за visa!!,2017-04-25 05:03:46,False,
46,Ура Visa,Алексей 0174,5,Ждал ждал и дождался визу :) спасибо все отлично,2017-04-25 05:28:55,False,
47,Лютое неудобное и просто ужасное приложение,gfhfctxtcyvycy,5,"Ну и еще комиссии при переводе со сбера на сбер в одном регионе. Это просто ни в какие ворота не лезет. 
Лучше поищите другой банк - этот худшее что есть",2020-09-27 07:46:04,False,"{'id': 18216024, 'body': 'Мы каждый день работаем над улучшением программы. Интерфейс довольно простой и понятный. Напишите, что именно вы хотели бы поменять. Ваши замечания помогли бы улучшить приложение.\nВнутри банка переводы через Сбербанк Онлайн и СМС до 50 000 рублей в месяц уже бесплатные для всех клиентов. Увеличить лимит можно по подписке. Подробнее: https://www.sberbank.ru/ru/person/remittance/perevod_rus', 'modified': '2020-10-01T12:59:20Z'}"
48,Очередная помойка,Шанский,1,"Весь мир шёл к тому, что человек должен быть хорошим специалистом в своей области, а не я все умею по чуть-чуть. Так и с приложением... перегрузили всякой шляпой, кому это нужно? Реклама? Верните как было!!! Мне сейчас чтобы перевезти деньги или оплатить, приходится перезапускать приложение по 2-3 раза, постоянно!!!!",2021-06-08 08:00:46,False,"{'id': 23300298, 'body': 'Здравствуйте! Рекомендуем переустановить приложение и проверить качество соединения с интернетом. Дополнительно смените сотовую сеть на Wi-Fi и наоборот.', 'modified': '2021-06-10T05:54:34Z'}"
49,Отстой,Alleriol,1,Вся экосистема сбера отстой,2021-02-04 17:13:49,False,"{'id': 21178625, 'body': 'Нам жаль, что сложилось такое впечатление😔\nЧто не понравилось? Ваши отзывы нам помогают стать лучше.', 'modified': '2021-02-20T08:26:22Z'}"
50,:(,🌚Невидимка🌝,3,Новый дизайн отвратительный!!,2020-09-27 12:52:26,False,
51,Некрасивая иконка,Ладноужнапишу,5,"Верните старый логотип , новая иконка портит мой красивый телефон",2020-09-24 16:00:04,False,
52,вы не устали ?,Akio17,1,"Опять ребрендинг, второй раз уже за последние несколько лет. Сначала логотип повернули за 2 млрд рублей, теперь название сократили за очередные 2 с лишним миллиарда. Вам деньги девать некуда ? Вместо того чтобы людям помогать вы выбрасываете деньги на ветер.  У вас грабительские ставки по кредитам и никакущие по депозитам.
И хватит уже всем навязывать биометрическую идентификацию, если в будущем у вас обслуживание будет только через неё, уйду в другой банк.",2020-09-26 19:07:14,False,
53,Отличное приложение 😍,Alinamiralamirakumira,5,"Теперь еще и бонусы спасибо появилось в приложении, вообще круто 😎 да и оплачиваю всё дома, не надо ходить в банк и стоять в очереди, а чеки дома распечатываю. Спасибо огрооооомное😋😍😘",2017-04-25 05:07:53,False,
54,Проценты,Kolls23,1,"Какие же вклады копеечные, а возьми кредит, так давай от 14% тебе впарим)) жадюги",2020-09-23 06:35:31,False,
55,УВЕДОМЛЕНИЯ,3589741,3,"п*дарасы, хватит всякую х*йню присылать в пуш уведомлениях, они нужны для уведомлений о переводах. вы совсем ох*ели делать эту функцию платной? капиталисты еб*чие",2020-08-14 09:27:16,False,"{'id': 17297536, 'body': 'Для отключения информационной подписки напишите, пожалуйста, в чате.\nОплачивается не тип оповещения (Push или СМС), а сама услуга уведомлений. Подробнее о тарифах на сайте: https://www.sberbank.ru/common/img/uploaded/files/pdf/tarifi.pdf', 'modified': '2020-08-15T14:58:38Z'}"
56,Ужас,даже правду не хотят слушать,1,"После вашего обновления не могу зайти в приложение, удалила его и заново пытаюсь переустановить и он не грузит",2019-12-13 06:34:32,False,"{'id': 12390239, 'body': 'Извините за неудобства. Переустановите, пожалуйста, приложение. Сейчас Сбербанк Онлайн работает корректно.', 'modified': '2019-12-14T06:46:54Z'}"
57,Спасибо за обновление,X1213X,2,Стало чуть менее убого,2017-04-25 06:46:06,False,
58,Комиссия с ЖКХ,Пенсионер-пионер,5,"За все берут комиссию, даже с пенсионеров за коммуналку",2020-10-25 18:49:13,False,"{'id': 18792471, 'body': 'Наличие и размер комиссии зависят от наличия договора с компанией. При его отсутствии она будет 1%, максимум 500 рублей.', 'modified': '2020-10-30T00:56:12Z'}"
59,Версия апрель 2021 ужасна,Intenditore1,1,"Для чего мне в приложении которое имеет задачей решать банковские операции столько шлака? Зачем убрали список карт, это должен решать пользователь, а не приложение сколько и чего должно отображаться! Приложение стало тяжеловесное, неуклюжее и некомфортное! Все нормальные сервисы идут по пути упрощения и функциональности, только Сбер засирает мозги пользователю своими беспонтовыми предложениями.",2021-05-01 12:06:07,False,"{'id': 22604658, 'body': 'Добрый день!\nПриложение, как и Сбер, постоянно развивается, мы создаем новые сервисы для наших клиентов и какие-то разделы приложения могут измениться, чтобы уступить свое место новым. В этом обновлении мы собрали вместе все финансовые инструменты, представили новые сервисы для защиты от мошенников, а виртуальные ассистенты Салют переехали на видное место.\nВ «Кошельке» на главном экране находятся те карты, которыми вы пользуетесь чаще всего. Если среди ваших карт есть кредитная, то она тоже остается на главном экране. Кроме того, если вы откроете новую карту, она также появится на главном экране. В зависимости от того, как вы пользуетесь картами, они могут подниматься на главный экран или уходить с него на экран «Все карты». В дальнейших обновлениях мы добавим возможность управлять списком карт на главном экране.', 'modified': '2021-05-04T05:10:57Z'}"
