,User,Название,Жанр,Рейтинг
96,User4,Movie19,комедия,2
97,User5,Movie84,мелодрама,5
98,User5,Movie45,комедия,5
99,User5,Movie5,мелодрама,4
100,User5,Movie19,драма,3
101,User5,Movie86,фантастика,1
102,User5,Movie74,фантастика,3
103,User5,Movie78,драма,4
104,User5,Movie39,мелодрама,4
105,User5,Movie43,фантастика,1
106,User5,Movie12,комедия,4
107,User5,Movie7,фантастика,1
108,User5,Movie14,мелодрама,3
109,User5,Movie54,мелодрама,4
110,User5,Movie23,комедия,2
111,User5,Movie21,драма,5
112,User5,Movie87,мелодрама,1
113,User5,Movie37,драма,5
114,User5,Movie79,мелодрама,4
115,User5,Movie85,боевик,3
116,User5,Movie89,фантастика,5
117,User6,Movie68,драма,4
118,User6,Movie74,фантастика,3
119,User6,Movie80,комедия,5
120,User6,Movie46,комедия,1
121,User6,Movie17,фантастика,3
122,User6,Movie79,фантастика,1
123,User6,Movie73,мелодрама,3
124,User6,Movie64,фантастика,5
125,User6,Movie67,драма,1
126,User6,Movie81,фантастика,3
127,User6,Movie93,мелодрама,4
128,User6,Movie90,драма,5
129,User6,Movie24,комедия,2
130,User6,Movie95,фантастика,3
131,User6,Movie30,боевик,4
132,User6,Movie38,комедия,1
133,User6,Movie25,комедия,4
134,User6,Movie1,мелодрама,4
135,User6,Movie16,боевик,3
136,User6,Movie4,драма,4
137,User6,Movie60,фантастика,5
138,User6,Movie82,фантастика,5
139,User6,Movie27,мелодрама,5
140,User6,Movie54,комедия,1
141,User7,Movie88,мелодрама,2
142,User7,Movie43,комедия,3
143,User7,Movie46,фантастика,1
144,User7,Movie9,комедия,1
145,User7,Movie20,боевик,1
146,User7,Movie36,драма,5
147,User7,Movie4,мелодрама,4
148,User7,Movie44,комедия,2
149,User7,Movie49,боевик,3
150,User7,Movie81,фантастика,5
151,User7,Movie69,комедия,3
152,User7,Movie22,мелодрама,1
153,User7,Movie74,комедия,2
154,User7,Movie78,боевик,1
155,User7,Movie50,мелодрама,4
156,User7,Movie24,драма,1
157,User7,Movie77,драма,3
158,User7,Movie15,драма,5
159,User7,Movie40,боевик,3
160,User7,Movie41,драма,1
161,User7,Movie5,фантастика,5
162,User7,Movie35,мелодрама,1
163,User7,Movie53,комедия,3
164,User7,Movie12,комедия,3
165,User7,Movie64,фантастика,2
166,User7,Movie31,мелодрама,3
167,User7,Movie48,боевик,3
168,User7,Movie58,фантастика,1
169,User7,Movie39,комедия,2
170,User8,Movie15,драма,2
171,User8,Movie2,драма,4
172,User8,Movie80,боевик,1
173,User8,Movie72,драма,1
174,User8,Movie66,боевик,4
175,User8,Movie14,мелодрама,2
176,User8,Movie27,боевик,5
177,User8,Movie70,фантастика,5
178,User8,Movie45,фантастика,3
179,User8,Movie71,мелодрама,2
180,User8,Movie41,боевик,1
181,User8,Movie35,комедия,5
182,User8,Movie19,боевик,1
183,User8,Movie37,боевик,1
184,User8,Movie74,боевик,3
185,User8,Movie32,комедия,4
186,User8,Movie22,комедия,2
187,User8,Movie10,фантастика,5
188,User8,Movie40,боевик,3
189,User8,Movie79,фантастика,2
190,User8,Movie44,боевик,3
191,User8,Movie93,драма,4
192,User8,Movie57,боевик,1
193,User8,Movie7,фантастика,1
194,User9,Movie60,фантастика,1
195,User9,Movie22,мелодрама,2
196,User9,Movie37,боевик,4
197,User9,Movie45,фантастика,5
198,User9,Movie78,комедия,5
199,User9,Movie74,драма,2
200,User9,Movie17,боевик,5
201,User9,Movie66,мелодрама,1
202,User9,Movie14,боевик,5
203,User9,Movie52,мелодрама,3
204,User9,Movie92,боевик,1
205,User9,Movie42,фантастика,2
206,User9,Movie72,драма,4
207,User9,Movie84,драма,5
208,User9,Movie10,боевик,5
209,User9,Movie39,боевик,3
210,User9,Movie69,драма,1
211,User9,Movie100,комедия,2
212,User9,Movie91,драма,5
213,User9,Movie76,комедия,2
214,User9,Movie53,мелодрама,4
215,User9,Movie31,боевик,3
216,User9,Movie32,мелодрама,5
217,User9,Movie71,комедия,4
218,User9,Movie21,фантастика,2
219,User9,Movie62,мелодрама,3
220,User9,Movie50,боевик,3
221,User10,Movie12,боевик,4
222,User10,Movie75,комедия,5
223,User10,Movie2,боевик,2
224,User10,Movie79,комедия,2
225,User10,Movie66,боевик,5
226,User10,Movie52,боевик,3
227,User10,Movie17,фантастика,2
228,User10,Movie38,комедия,2
229,User10,Movie8,драма,1
230,User10,Movie48,комедия,1
231,User10,Movie71,боевик,4
232,User10,Movie7,драма,2
233,User10,Movie1,боевик,2
234,User10,Movie72,мелодрама,4
235,User10,Movie46,мелодрама,4
236,User10,Movie15,боевик,2
237,User10,Movie37,боевик,5
238,User10,Movie4,боевик,5
239,User10,Movie31,фантастика,4
240,User10,Movie56,комедия,2
241,User10,Movie76,мелодрама,4
242,User10,Movie51,мелодрама,1
243,User10,Movie41,комедия,4
244,User10,Movie49,фантастика,5
245,User10,Movie95,мелодрама,4
246,User11,Movie47,драма,5
247,User11,Movie5,боевик,4
248,User11,Movie99,боевик,5
249,User11,Movie73,фантастика,5
250,User11,Movie62,фантастика,4
251,User11,Movie91,фантастика,3
252,User11,Movie48,драма,2
253,User11,Movie15,фантастика,5
254,User11,Movie75,фантастика,5
255,User11,Movie96,боевик,1
256,User11,Movie89,комедия,5
257,User11,Movie11,драма,5
258,User11,Movie19,мелодрама,3
259,User11,Movie68,фантастика,1
260,User11,Movie36,драма,4
261,User11,Movie60,мелодрама,2
262,User11,Movie67,фантастика,1
263,User11,Movie90,комедия,3
264,User11,Movie84,фантастика,5
265,User11,Movie79,фантастика,3
266,User11,Movie12,драма,1
267,User11,Movie32,комедия,5
268,User11,Movie61,комедия,5
269,User11,Movie10,фантастика,4
270,User11,Movie70,фантастика,2
271,User11,Movie92,боевик,2
272,User11,Movie40,мелодрама,2
273,User11,Movie7,фантастика,1
274,User11,Movie44,комедия,1
275,User12,Movie20,комедия,3
276,User12,Movie64,боевик,5
277,User12,Movie97,фантастика,1
278,User12,Movie53,боевик,4
279,User12,Movie50,мелодрама,3
280,User12,Movie31,драма,1
281,User12,Movie85,фантастика,5
282,User12,Movie57,мелодрама,4
283,User12,Movie82,фантастика,3
284,User12,Movie22,фантастика,3
285,User12,Movie27,фантастика,1
286,User12,Movie74,боевик,5
287,User12,Movie45,комедия,4
288,User12,Movie7,комедия,5
289,User12,Movie83,фантастика,5
290,User12,Movie34,фантастика,2
291,User12,Movie15,драма,5
292,User12,Movie87,драма,1
293,User12,Movie91,боевик,1
294,User12,Movie60,мелодрама,1
295,User12,Movie52,боевик,1
296,User12,Movie61,комедия,3
297,User12,Movie39,фантастика,3
298,User12,Movie79,драма,2
299,User12,Movie69,мелодрама,1
300,User12,Movie30,драма,1
301,User12,Movie49,комедия,5
302,User12,Movie96,драма,5
303,User12,Movie77,драма,1
304,User13,Movie17,комедия,3
305,User13,Movie49,драма,4
306,User13,Movie85,комедия,4
307,User13,Movie83,боевик,5
308,User13,Movie73,боевик,2
309,User13,Movie24,комедия,1
310,User13,Movie15,боевик,5
311,User13,Movie90,мелодрама,2
312,User13,Movie95,боевик,1
313,User13,Movie33,драма,3
314,User13,Movie38,драма,1
315,User13,Movie60,мелодрама,1
316,User13,Movie98,боевик,3
317,User13,Movie10,боевик,1
318,User13,Movie82,драма,2
319,User13,Movie59,боевик,1
320,User13,Movie36,комедия,3
321,User13,Movie55,боевик,3
322,User13,Movie42,драма,5
323,User13,Movie91,боевик,5
324,User13,Movie21,боевик,4
325,User13,Movie87,драма,4
326,User13,Movie84,комедия,5
327,User13,Movie8,боевик,1
328,User13,Movie99,драма,4
329,User13,Movie50,мелодрама,5
330,User13,Movie43,фантастика,3
331,User13,Movie77,боевик,3
332,User13,Movie34,драма,1
333,User14,Movie69,мелодрама,1
334,User14,Movie44,боевик,2
335,User14,Movie11,драма,4
336,User14,Movie59,фантастика,5
337,User14,Movie38,мелодрама,4
338,User14,Movie83,драма,4
339,User14,Movie26,фантастика,1
340,User14,Movie23,фантастика,1
341,User14,Movie71,боевик,1
342,User14,Movie6,комедия,1
343,User14,Movie50,боевик,5
344,User14,Movie85,комедия,5
345,User14,Movie25,комедия,5
346,User14,Movie39,драма,1
347,User14,Movie90,боевик,2
348,User14,Movie14,боевик,1
349,User14,Movie81,драма,5
350,User14,Movie46,комедия,2
351,User14,Movie63,комедия,1
352,User14,Movie98,фантастика,1
353,User14,Movie57,боевик,1
354,User14,Movie88,комедия,5
355,User14,Movie18,драма,5
356,User14,Movie5,драма,1
357,User14,Movie79,мелодрама,4
358,User15,Movie29,комедия,4
359,User15,Movie9,драма,5
360,User15,Movie26,драма,2
361,User15,Movie55,боевик,5
362,User15,Movie44,драма,2
363,User15,Movie95,драма,4
364,User15,Movie87,драма,1
365,User15,Movie52,драма,2
366,User15,Movie42,фантастика,5
367,User15,Movie16,боевик,4
368,User15,Movie88,комедия,2
369,User15,Movie74,фантастика,2
370,User15,Movie70,боевик,5
371,User15,Movie18,комедия,4
372,User15,Movie92,мелодрама,2
373,User15,Movie28,мелодрама,1
374,User15,Movie6,боевик,2
375,User15,Movie76,драма,5
376,User15,Movie23,фантастика,3
377,User15,Movie43,драма,4
378,User15,Movie99,комедия,5
379,User15,Movie91,драма,2
380,User15,Movie36,драма,5
381,User15,Movie19,фантастика,5
382,User15,Movie54,мелодрама,5
383,User15,Movie22,боевик,2
384,User15,Movie48,фантастика,2
385,User15,Movie71,комедия,1
386,User15,Movie75,комедия,1
387,User16,Movie61,комедия,4
388,User16,Movie64,комедия,3
389,User16,Movie23,фантастика,1
390,User16,Movie21,драма,2
391,User16,Movie86,боевик,2
392,User16,Movie6,боевик,2
393,User16,Movie7,драма,2
394,User16,Movie83,мелодрама,4
395,User16,Movie47,драма,4
396,User16,Movie37,комедия,4
397,User16,Movie27,мелодрама,2
398,User16,Movie56,комедия,4
399,User16,Movie33,фантастика,4
400,User16,Movie43,боевик,2
401,User16,Movie79,фантастика,2
402,User16,Movie59,комедия,3
403,User16,Movie95,комедия,3
404,User16,Movie14,мелодрама,1
405,User16,Movie94,фантастика,1
406,User16,Movie69,драма,2
407,User16,Movie98,боевик,4
408,User16,Movie97,комедия,4
409,User16,Movie4,комедия,3
410,User16,Movie63,мелодрама,3
411,User16,Movie66,мелодрама,2
412,User16,Movie15,мелодрама,2
413,User16,Movie10,комедия,5
414,User16,Movie31,боевик,1
415,User16,Movie57,боевик,5
416,User16,Movie42,мелодрама,2
417,User17,Movie60,боевик,4
418,User17,Movie36,драма,2
419,User17,Movie2,драма,5
420,User17,Movie94,комедия,4
421,User17,Movie55,фантастика,2
422,User17,Movie95,комедия,3
423,User17,Movie32,драма,1
424,User17,Movie97,фантастика,4
425,User17,Movie42,боевик,2
426,User17,Movie56,мелодрама,5
427,User17,Movie75,боевик,1
428,User17,Movie29,комедия,4
429,User17,Movie76,комедия,4
430,User17,Movie20,боевик,3
431,User17,Movie74,драма,1
432,User17,Movie1,фантастика,4
433,User17,Movie54,драма,5
434,User17,Movie6,боевик,3
435,User17,Movie83,мелодрама,3
436,User17,Movie61,мелодрама,5
437,User17,Movie65,драма,2
438,User17,Movie5,фантастика,5
439,User17,Movie96,мелодрама,1
440,User17,Movie68,драма,3
441,User17,Movie51,боевик,1
442,User17,Movie62,боевик,3
443,User17,Movie13,драма,5
444,User18,Movie47,драма,1
445,User18,Movie23,фантастика,3
446,User18,Movie83,боевик,4
447,User18,Movie72,мелодрама,5
448,User18,Movie91,боевик,1
449,User18,Movie9,мелодрама,5
450,User18,Movie97,боевик,3
451,User18,Movie96,фантастика,5
452,User18,Movie27,комедия,1
453,User18,Movie18,драма,4
454,User18,Movie43,боевик,1
455,User18,Movie31,фантастика,2
456,User18,Movie70,драма,1
457,User18,Movie15,фантастика,2
458,User18,Movie84,комедия,1
459,User18,Movie62,комедия,4
460,User18,Movie75,мелодрама,2
461,User18,Movie92,фантастика,1
462,User18,Movie29,мелодрама,4
463,User18,Movie42,боевик,2
464,User18,Movie46,боевик,3
465,User18,Movie35,драма,4
466,User18,Movie65,комедия,3
467,User18,Movie55,драма,1
468,User18,Movie36,мелодрама,2
469,User19,Movie43,мелодрама,2
470,User19,Movie53,мелодрама,2
471,User19,Movie75,комедия,3
472,User19,Movie44,комедия,2
473,User19,Movie84,комедия,2
474,User19,Movie83,драма,1
475,User19,Movie42,мелодрама,3
476,User19,Movie63,боевик,2
477,User19,Movie76,фантастика,3
478,User19,Movie86,комедия,2
479,User19,Movie90,драма,5
480,User19,Movie68,фантастика,3
481,User19,Movie71,фантастика,2
482,User19,Movie57,мелодрама,4
483,User19,Movie59,мелодрама,2
484,User19,Movie39,драма,3
485,User19,Movie73,боевик,1
486,User19,Movie17,комедия,4
487,User19,Movie40,фантастика,4
488,User19,Movie22,драма,2
489,User19,Movie34,мелодрама,5
490,User19,Movie30,фантастика,3
491,User19,Movie62,фантастика,4
492,User19,Movie48,комедия,5
493,User19,Movie37,боевик,5
494,User19,Movie7,драма,3
495,User19,Movie19,драма,4
496,User19,Movie46,мелодрама,2
497,User19,Movie92,фантастика,1
498,User19,Movie91,боевик,1
499,User20,Movie29,фантастика,4
500,User20,Movie58,фантастика,4
501,User20,Movie46,фантастика,1
502,User20,Movie12,фантастика,3
503,User20,Movie42,боевик,3
504,User20,Movie8,драма,5
505,User20,Movie78,боевик,2
506,User20,Movie83,боевик,4
507,User20,Movie25,комедия,3
508,User20,Movie75,боевик,4
509,User20,Movie68,мелодрама,2
510,User20,Movie100,драма,5
511,User20,Movie36,комедия,2
512,User20,Movie26,боевик,3
513,User20,Movie3,фантастика,5
514,User20,Movie11,мелодрама,1
515,User20,Movie69,драма,4
516,User20,Movie99,боевик,1
517,User20,Movie97,боевик,3
518,User20,Movie66,мелодрама,2
519,User20,Movie51,мелодрама,4
520,User20,Movie92,комедия,2
521,User20,Movie63,боевик,2
522,User20,Movie41,мелодрама,3
523,User20,Movie81,драма,4
524,User20,Movie95,мелодрама,3
525,User20,Movie47,боевик,3
526,User20,Movie80,боевик,5
527,User20,Movie19,драма,2
528,User21,Movie20,фантастика,5
529,User21,Movie34,боевик,5
530,User21,Movie39,боевик,5
531,User21,Movie82,боевик,3
532,User21,Movie61,фантастика,1
533,User21,Movie16,мелодрама,5
534,User21,Movie84,фантастика,1
535,User21,Movie86,мелодрама,2
536,User21,Movie37,комедия,1
537,User21,Movie54,боевик,3
538,User21,Movie23,фантастика,2
539,User21,Movie63,драма,2
540,User21,Movie89,фантастика,3
541,User21,Movie83,фантастика,4
542,User21,Movie32,фантастика,1
543,User21,Movie4,мелодрама,3
544,User21,Movie98,мелодрама,1
545,User21,Movie36,комедия,2
546,User21,Movie64,мелодрама,1
547,User21,Movie9,мелодрама,2
548,User22,Movie41,комедия,5
549,User22,Movie88,мелодрама,2
550,User22,Movie39,мелодрама,5
551,User22,Movie35,мелодрама,5
552,User22,Movie99,боевик,1
553,User22,Movie90,драма,4
554,User22,Movie89,комедия,1
555,User22,Movie47,боевик,1
556,User22,Movie13,фантастика,3
557,User22,Movie69,комедия,3
558,User22,Movie75,мелодрама,4
559,User22,Movie46,фантастика,5
560,User22,Movie19,фантастика,2
561,User22,Movie2,драма,1
562,User22,Movie18,комедия,2
563,User22,Movie67,комедия,2
564,User22,Movie37,комедия,3
565,User22,Movie48,комедия,2
566,User22,Movie63,боевик,1
567,User22,Movie53,драма,1
568,User22,Movie44,боевик,1
569,User22,Movie21,драма,4
570,User22,Movie14,драма,2
571,User22,Movie28,мелодрама,1
572,User22,Movie20,драма,5
573,User23,Movie16,драма,5
574,User23,Movie33,мелодрама,1
575,User23,Movie6,мелодрама,1
576,User23,Movie9,комедия,2
577,User23,Movie39,комедия,3
578,User23,Movie86,драма,5
579,User23,Movie2,комедия,1
580,User23,Movie13,боевик,5
581,User23,Movie100,мелодрама,3
582,User23,Movie78,боевик,2
583,User23,Movie27,комедия,1
584,User23,Movie76,боевик,3
585,User23,Movie26,комедия,4
586,User23,Movie24,комедия,5
587,User23,Movie95,драма,4
588,User23,Movie45,драма,3
589,User23,Movie4,драма,4
590,User23,Movie12,комедия,5
591,User23,Movie19,фантастика,4
592,User23,Movie36,мелодрама,3
593,User23,Movie75,драма,1
594,User23,Movie85,боевик,3
595,User23,Movie46,боевик,1
596,User23,Movie21,боевик,3
597,User23,Movie65,фантастика,5
598,User23,Movie31,комедия,4
599,User23,Movie89,боевик,5
600,User24,Movie55,фантастика,1
601,User24,Movie25,фантастика,2
602,User24,Movie9,мелодрама,2
603,User24,Movie61,драма,4
604,User24,Movie87,боевик,2
605,User24,Movie48,фантастика,4
606,User24,Movie23,мелодрама,5
607,User24,Movie2,боевик,3
608,User24,Movie96,боевик,3
609,User24,Movie63,боевик,5
610,User24,Movie92,мелодрама,4
611,User24,Movie14,комедия,3
612,User24,Movie51,драма,4
613,User24,Movie57,фантастика,1
614,User24,Movie67,боевик,4
615,User24,Movie85,комедия,2
616,User24,Movie11,драма,1
617,User24,Movie16,драма,1
618,User24,Movie19,драма,4
619,User24,Movie88,боевик,2
620,User24,Movie52,фантастика,5
621,User24,Movie76,фантастика,2
622,User24,Movie89,мелодрама,5
623,User24,Movie22,драма,1
624,User25,Movie97,боевик,2
625,User25,Movie67,комедия,4
626,User25,Movie64,боевик,3
627,User25,Movie60,драма,4
628,User25,Movie26,боевик,5
629,User25,Movie38,мелодрама,5
630,User25,Movie85,боевик,5
631,User25,Movie98,мелодрама,4
632,User25,Movie63,мелодрама,2
633,User25,Movie65,боевик,1
634,User25,Movie34,боевик,3
635,User25,Movie70,боевик,5
636,User25,Movie44,фантастика,5
637,User25,Movie89,фантастика,3
638,User25,Movie87,драма,1
639,User25,Movie3,драма,5
640,User25,Movie5,фантастика,2
641,User25,Movie56,мелодрама,3
642,User25,Movie16,фантастика,1
643,User25,Movie50,драма,4
644,User25,Movie58,фантастика,4
645,User25,Movie41,боевик,3
646,User25,Movie49,драма,3
647,User25,Movie57,комедия,2
648,User25,Movie59,фантастика,2
649,User25,Movie84,драма,5
650,User25,Movie75,фантастика,1
651,User25,Movie23,фантастика,1
652,User25,Movie72,драма,2
653,User25,Movie39,фантастика,5
654,User26,Movie59,фантастика,2
655,User26,Movie85,мелодрама,4
656,User26,Movie55,комедия,3
657,User26,Movie73,фантастика,5
658,User26,Movie66,боевик,3
659,User26,Movie54,боевик,2
660,User26,Movie35,мелодрама,1
661,User26,Movie3,фантастика,2
662,User26,Movie90,драма,3
663,User26,Movie61,мелодрама,3
664,User26,Movie76,комедия,4
665,User26,Movie41,драма,5
666,User26,Movie49,драма,5
667,User26,Movie74,фантастика,5
668,User26,Movie50,драма,3
669,User26,Movie42,мелодрама,5
670,User26,Movie13,боевик,4
671,User26,Movie63,фантастика,2
672,User26,Movie89,фантастика,1
673,User26,Movie87,фантастика,5
674,User27,Movie85,комедия,5
675,User27,Movie70,боевик,3
676,User27,Movie41,комедия,2
677,User27,Movie26,фантастика,2
678,User27,Movie54,боевик,4
679,User27,Movie52,драма,3
680,User27,Movie33,боевик,2
681,User27,Movie80,фантастика,3
682,User27,Movie66,фантастика,2
683,User27,Movie59,комедия,5
684,User27,Movie86,комедия,4
685,User27,Movie71,комедия,1
686,User27,Movie24,драма,2
687,User27,Movie3,фантастика,2
688,User27,Movie81,боевик,4
689,User27,Movie67,боевик,5
690,User27,Movie88,драма,4
691,User27,Movie74,комедия,2
692,User27,Movie64,комедия,3
693,User27,Movie28,фантастика,1
694,User27,Movie60,мелодрама,3
695,User27,Movie35,драма,2
696,User27,Movie69,драма,4
697,User27,Movie56,драма,1
698,User27,Movie73,мелодрама,3
699,User27,Movie8,драма,3
700,User28,Movie47,боевик,2
701,User28,Movie86,комедия,2
702,User28,Movie85,комедия,1
703,User28,Movie12,фантастика,2
704,User28,Movie51,боевик,4
705,User28,Movie93,мелодрама,3
706,User28,Movie18,боевик,1
707,User28,Movie31,фантастика,5
708,User28,Movie15,фантастика,1
709,User28,Movie74,боевик,5
710,User28,Movie65,комедия,4
711,User28,Movie16,комедия,3
712,User28,Movie67,боевик,3
713,User28,Movie99,фантастика,3
714,User28,Movie75,мелодрама,1
715,User28,Movie68,драма,1
716,User28,Movie33,фантастика,2
717,User28,Movie64,боевик,5
718,User28,Movie97,фантастика,3
719,User28,Movie95,мелодрама,1
720,User28,Movie77,боевик,2
721,User28,Movie89,драма,4
722,User28,Movie41,фантастика,4
723,User28,Movie43,драма,3
724,User28,Movie87,фантастика,2
725,User28,Movie50,комедия,2
726,User29,Movie81,драма,2
727,User29,Movie41,комедия,4
728,User29,Movie83,фантастика,3
729,User29,Movie53,драма,5
730,User29,Movie5,комедия,1
731,User29,Movie36,мелодрама,2
732,User29,Movie11,мелодрама,2
733,User29,Movie63,фантастика,4
734,User29,Movie61,боевик,4
735,User29,Movie97,фантастика,2
736,User29,Movie43,мелодрама,2
737,User29,Movie55,фантастика,3
738,User29,Movie13,драма,2
739,User29,Movie21,фантастика,4
740,User29,Movie34,боевик,2
741,User29,Movie65,мелодрама,4
742,User29,Movie9,драма,2
743,User29,Movie46,мелодрама,1
744,User29,Movie54,комедия,5
745,User29,Movie78,боевик,1
746,User29,Movie71,фантастика,2
747,User29,Movie42,драма,2
748,User29,Movie59,мелодрама,4
749,User29,Movie4,мелодрама,4
750,User29,Movie7,комедия,3
751,User29,Movie24,фантастика,1
752,User29,Movie57,мелодрама,2
753,User30,Movie2,боевик,2
754,User30,Movie92,драма,2
755,User30,Movie68,фантастика,3
756,User30,Movie56,мелодрама,2
757,User30,Movie99,комедия,4
758,User30,Movie59,мелодрама,3
759,User30,Movie87,драма,4
760,User30,Movie64,боевик,1
761,User30,Movie16,фантастика,2
762,User30,Movie29,комедия,4
763,User30,Movie27,боевик,4
764,User30,Movie25,фантастика,5
765,User30,Movie35,драма,1
766,User30,Movie37,драма,5
767,User30,Movie96,фантастика,1
768,User30,Movie49,боевик,2
769,User30,Movie17,мелодрама,3
770,User30,Movie77,драма,5
771,User30,Movie28,фантастика,1
772,User30,Movie94,мелодрама,5
773,User30,Movie54,фантастика,4
774,User31,Movie86,боевик,3
775,User31,Movie48,фантастика,3
776,User31,Movie17,фантастика,5
777,User31,Movie72,фантастика,5
778,User31,Movie6,комедия,4
779,User31,Movie75,боевик,3
780,User31,Movie23,мелодрама,2
781,User31,Movie34,драма,4
782,User31,Movie22,комедия,2
783,User31,Movie65,комедия,1
784,User31,Movie64,драма,2
785,User31,Movie44,фантастика,4
786,User31,Movie60,боевик,2
787,User31,Movie98,драма,4
788,User31,Movie12,драма,4
789,User31,Movie41,фантастика,4
790,User31,Movie68,боевик,5
791,User31,Movie56,боевик,4
792,User31,Movie19,комедия,1
793,User31,Movie93,фантастика,1
794,User31,Movie15,комедия,1
795,User31,Movie85,комедия,3
796,User31,Movie96,мелодрама,2
797,User31,Movie87,мелодрама,3
798,User31,Movie90,комедия,5
799,User31,Movie36,драма,5
800,User32,Movie99,мелодрама,1
801,User32,Movie74,фантастика,4
802,User32,Movie24,комедия,5
803,User32,Movie54,драма,2
804,User32,Movie10,фантастика,3
805,User32,Movie32,драма,1
806,User32,Movie64,мелодрама,5
807,User32,Movie87,драма,4
808,User32,Movie13,фантастика,4
809,User32,Movie43,комедия,2
810,User32,Movie4,драма,4
811,User32,Movie37,комедия,1
812,User32,Movie88,боевик,2
813,User32,Movie16,фантастика,4
814,User32,Movie51,драма,2
815,User32,Movie48,боевик,3
816,User32,Movie76,фантастика,4
817,User32,Movie14,комедия,5
818,User32,Movie42,драма,3
819,User32,Movie20,мелодрама,3
820,User32,Movie90,боевик,2
821,User32,Movie11,боевик,4
822,User32,Movie59,фантастика,4
823,User32,Movie62,мелодрама,5
824,User32,Movie78,драма,4
825,User32,Movie35,фантастика,4
826,User32,Movie1,комедия,5
827,User32,Movie91,боевик,4
828,User33,Movie6,фантастика,4
829,User33,Movie66,драма,5
830,User33,Movie44,драма,5
831,User33,Movie60,мелодрама,1
832,User33,Movie87,мелодрама,1
833,User33,Movie29,боевик,4
834,User33,Movie83,боевик,1
835,User33,Movie88,фантастика,5
836,User33,Movie92,фантастика,3
837,User33,Movie20,драма,5
838,User33,Movie64,драма,5
839,User33,Movie68,боевик,1
840,User33,Movie81,комедия,2
841,User33,Movie11,драма,4
842,User33,Movie38,боевик,1
843,User33,Movie56,фантастика,3
844,User33,Movie62,боевик,5
845,User33,Movie39,мелодрама,4
846,User33,Movie17,фантастика,3
847,User33,Movie32,комедия,2
848,User33,Movie67,драма,2
849,User34,Movie34,драма,1
850,User34,Movie87,драма,2
851,User34,Movie14,боевик,2
852,User34,Movie56,комедия,2
