team_home,team_away,home_goals_avg,away_goals_avg,home_wins_pct,away_wins_pct,outcome
Team23,Team12,2.58,1.36,0.76,0.52,2
Team44,Team35,2.87,2.41,0.38,0.82,1
Team46,Team23,2.5,1.56,0.31,0.46,2
Team40,Team2,2.08,1.14,0.38,0.8,2
Team4,Team27,1.81,0.93,0.46,0.31,2
Team18,Team22,2.54,1.75,0.34,0.54,2
Team38,Team12,1.02,0.53,0.38,0.84,1
Team6,Team28,1.99,2.0,0.7,0.41,1
Team45,Team17,1.55,1.46,0.61,0.33,2
Team43,Team1,0.71,2.01,0.45,0.53,0
Team40,Team11,1.39,2.3,0.48,0.64,0
Team34,Team48,2.89,0.84,0.59,0.46,2
Team47,Team20,0.91,2.6,0.81,0.87,0
Team43,Team34,2.06,1.69,0.51,0.51,2
Team1,Team26,2.26,2.0,0.58,0.35,2
Team50,Team37,0.51,2.92,0.3,0.36,0
Team37,Team45,2.52,2.91,0.77,0.71,0
Team49,Team47,0.72,2.9,0.76,0.68,0
Team17,Team24,2.31,2.09,0.89,0.84,1
Team12,Team16,2.23,0.63,0.7,0.33,2
Team16,Team7,3.0,1.89,0.58,0.49,2
Team15,Team7,1.24,2.81,0.88,0.87,0
Team18,Team32,2.66,2.61,0.49,0.8,1
Team17,Team14,1.99,1.08,0.37,0.35,2
Team37,Team44,1.35,2.31,0.34,0.49,0
Team49,Team4,2.48,1.3,0.68,0.83,2
Team42,Team45,1.08,0.56,0.82,0.31,2
Team13,Team14,1.46,2.83,0.34,0.31,0
Team29,Team50,1.5,1.7,0.68,0.82,0
Team47,Team10,0.73,1.34,0.61,0.74,0
Team49,Team3,1.67,1.24,0.81,0.73,2
Team37,Team25,1.19,2.78,0.33,0.37,0
Team24,Team4,1.05,2.87,0.77,0.35,0
Team6,Team40,2.7,2.86,0.58,0.67,1
Team25,Team7,2.98,1.08,0.87,0.69,2
Team45,Team47,1.08,0.94,0.43,0.41,1
Team3,Team7,2.5,2.07,0.43,0.61,1
Team20,Team50,0.93,1.49,0.75,0.72,0
Team24,Team3,2.54,1.06,0.43,0.62,2
Team9,Team4,1.95,0.73,0.83,0.46,2
Team28,Team30,2.72,2.89,0.82,0.79,1
Team40,Team25,1.88,0.72,0.55,0.52,2
Team8,Team5,0.62,1.83,0.88,0.37,0
Team28,Team5,2.98,0.65,0.83,0.61,2
Team3,Team41,2.2,1.91,0.46,0.83,1
Team19,Team16,2.15,2.63,0.82,0.73,0
Team43,Team46,2.24,2.2,0.67,0.75,1
Team7,Team5,2.7,2.68,0.32,0.8,0
Team10,Team33,1.34,2.36,0.4,0.79,0
Team14,Team13,1.77,0.52,0.47,0.67,2
Team49,Team41,2.08,1.15,0.68,0.62,2
Team35,Team49,0.77,2.4,0.62,0.88,0
Team28,Team15,2.83,0.76,0.86,0.71,2
Team50,Team4,1.25,2.27,0.34,0.65,0
Team1,Team23,2.05,0.61,0.82,0.88,2
Team29,Team12,2.37,0.83,0.75,0.31,2
Team11,Team34,1.31,1.72,0.76,0.71,0
Team26,Team35,1.18,2.99,0.56,0.57,0
Team39,Team15,2.49,2.23,0.43,0.35,2
Team14,Team21,2.14,1.18,0.87,0.39,2
Team28,Team30,2.86,1.55,0.68,0.54,2
Team5,Team3,1.28,1.3,0.73,0.75,1
Team35,Team50,2.13,1.42,0.82,0.58,2
Team8,Team47,1.01,0.73,0.39,0.57,1
Team50,Team7,2.07,0.83,0.32,0.85,2
Team3,Team21,2.49,1.7,0.37,0.38,2
Team44,Team20,1.58,1.0,0.59,0.34,2
Team2,Team25,1.58,2.96,0.39,0.58,0
Team30,Team18,1.7,2.0,0.47,0.72,0
Team33,Team39,2.77,2.31,0.75,0.39,2
Team12,Team47,0.86,1.75,0.67,0.72,0
Team10,Team41,0.52,1.32,0.61,0.35,0
Team13,Team31,0.58,0.7,0.54,0.38,1
Team39,Team26,2.22,2.5,0.42,0.4,1
Team49,Team40,2.09,2.27,0.32,0.86,0
Team39,Team31,1.85,2.27,0.82,0.73,0
Team20,Team48,2.54,0.7,0.84,0.63,2
Team22,Team27,1.7,0.6,0.4,0.56,2
Team18,Team12,1.12,0.9,0.82,0.43,2
Team46,Team36,2.36,2.68,0.56,0.33,1
Team44,Team18,0.55,2.13,0.5,0.63,0
Team3,Team29,1.0,2.2,0.34,0.32,0
Team33,Team7,1.66,2.67,0.74,0.75,0
Team20,Team38,1.36,1.43,0.89,0.32,2
Team49,Team32,1.97,0.57,0.54,0.66,2
Team15,Team35,2.48,2.14,0.9,0.47,2
Team12,Team3,2.06,2.08,0.74,0.38,2
Team8,Team37,2.77,0.95,0.44,0.88,2
Team37,Team5,0.67,1.59,0.36,0.54,0
Team14,Team40,1.4,1.98,0.4,0.53,0
Team28,Team2,2.64,0.52,0.65,0.66,2
Team36,Team46,1.09,1.09,0.83,0.57,1
Team16,Team10,1.62,2.17,0.39,0.57,0
Team8,Team44,2.87,1.13,0.52,0.53,2
Team43,Team37,1.39,1.83,0.77,0.72,0
Team28,Team48,2.67,1.01,0.37,0.46,2
Team2,Team10,1.83,2.84,0.32,0.37,0
Team6,Team38,2.83,1.29,0.6,0.32,2
Team42,Team20,2.97,2.91,0.3,0.87,0
Team50,Team29,2.67,1.64,0.61,0.59,2
Team44,Team38,0.85,0.57,0.48,0.72,1
Team42,Team8,2.92,0.73,0.7,0.57,2
Team5,Team48,0.94,2.23,0.8,0.87,0
Team10,Team31,1.74,2.04,0.82,0.64,1
Team12,Team28,2.83,2.22,0.71,0.43,2
Team16,Team14,1.48,2.13,0.36,0.69,0
Team50,Team6,1.3,2.67,0.9,0.75,0
Team13,Team32,2.35,2.7,0.54,0.5,0
Team38,Team19,2.52,2.41,0.78,0.56,2
Team11,Team1,0.8,1.86,0.3,0.49,0
Team12,Team7,1.91,1.45,0.63,0.66,2
Team32,Team50,1.61,0.54,0.65,0.4,2
Team14,Team10,2.4,1.75,0.63,0.87,2
Team2,Team7,2.79,2.53,0.37,0.39,1
Team48,Team37,1.12,1.69,0.54,0.63,0
Team46,Team44,2.89,0.55,0.42,0.3,2
Team47,Team15,1.11,2.82,0.34,0.86,0
Team22,Team19,0.75,1.71,0.45,0.47,0
Team27,Team30,2.51,1.85,0.49,0.67,2
Team18,Team2,1.18,1.53,0.37,0.41,0
Team31,Team45,0.95,1.81,0.73,0.36,0
Team42,Team43,2.79,1.56,0.35,0.79,2
Team44,Team46,2.08,2.88,0.66,0.79,0
Team22,Team29,1.07,1.03,0.67,0.55,1
Team42,Team8,2.42,1.89,0.45,0.48,2
Team24,Team19,2.63,2.18,0.79,0.76,2
Team10,Team34,1.56,0.88,0.44,0.82,2
Team33,Team21,0.74,0.56,0.69,0.66,1
Team32,Team11,1.08,1.48,0.66,0.6,0
Team2,Team36,1.99,2.19,0.57,0.57,1
Team41,Team50,0.54,1.35,0.79,0.66,0
Team38,Team43,2.76,2.43,0.46,0.69,1
Team36,Team3,1.5,1.42,0.51,0.67,1
Team13,Team50,2.58,2.17,0.34,0.68,1
Team8,Team39,1.98,2.2,0.44,0.57,0
Team22,Team6,0.63,1.45,0.52,0.9,0
Team23,Team31,1.33,1.95,0.35,0.88,0
Team29,Team32,2.39,0.93,0.55,0.55,2
Team16,Team12,1.37,2.16,0.78,0.86,0
Team45,Team23,1.5,0.88,0.9,0.86,2
Team44,Team1,2.61,1.8,0.67,0.35,2
Team39,Team32,0.82,2.57,0.77,0.73,0
Team14,Team37,1.26,1.16,0.52,0.35,1
Team27,Team9,1.77,2.56,0.47,0.87,0
Team18,Team6,2.8,1.74,0.9,0.81,2
Team42,Team12,2.83,0.79,0.79,0.53,2
Team24,Team43,2.67,2.51,0.77,0.48,2
Team9,Team16,1.51,0.93,0.72,0.51,2
Team20,Team18,2.1,2.56,0.38,0.82,0
Team36,Team31,1.72,2.02,0.76,0.4,1
Team3,Team36,1.5,0.87,0.52,0.34,2
Team34,Team4,0.84,2.91,0.63,0.88,0
Team32,Team28,1.28,1.77,0.56,0.36,1
Team6,Team33,1.04,2.05,0.69,0.39,0
Team5,Team20,0.98,1.03,0.59,0.75,1
Team31,Team15,2.96,1.1,0.39,0.37,2
Team46,Team7,2.23,0.66,0.61,0.9,2
Team17,Team38,2.04,1.27,0.67,0.62,2
Team39,Team37,2.72,1.62,0.42,0.52,2
Team28,Team22,2.57,2.33,0.76,0.31,2
Team2,Team28,1.55,2.48,0.65,0.71,0
Team39,Team5,1.04,0.53,0.44,0.89,1
Team18,Team38,2.9,1.72,0.37,0.63,2
Team21,Team27,0.82,2.66,0.45,0.69,0
Team35,Team42,2.04,2.65,0.54,0.87,0
Team49,Team41,0.76,2.15,0.87,0.79,0
Team48,Team29,1.2,2.83,0.45,0.77,0
Team28,Team11,1.74,1.47,0.57,0.44,2
Team17,Team24,1.8,0.88,0.74,0.61,2
Team37,Team8,0.6,0.71,0.73,0.34,1
Team24,Team36,0.53,2.89,0.74,0.51,0
Team46,Team36,1.37,2.44,0.7,0.41,0
Team43,Team5,1.87,2.58,0.34,0.55,0
Team47,Team32,1.79,2.75,0.77,0.44,0
Team9,Team2,2.17,0.53,0.45,0.46,2
Team41,Team42,2.9,1.7,0.84,0.49,2
Team36,Team12,1.69,0.78,0.59,0.85,2
Team16,Team33,2.04,0.89,0.33,0.37,2
Team18,Team9,1.43,1.58,0.56,0.67,1
Team22,Team31,2.82,2.19,0.6,0.31,2
Team21,Team36,2.18,1.29,0.83,0.46,2
Team47,Team18,2.09,1.05,0.89,0.75,2
Team46,Team7,0.95,0.63,0.49,0.75,1
Team25,Team22,1.85,2.32,0.36,0.71,0
Team27,Team32,1.72,0.88,0.51,0.55,2
Team37,Team33,1.77,1.24,0.64,0.71,2
Team39,Team45,2.09,2.4,0.4,0.58,0
Team16,Team8,1.12,2.32,0.9,0.36,0
Team32,Team43,2.14,1.28,0.75,0.79,2
Team27,Team28,2.22,1.44,0.62,0.61,2
Team42,Team26,2.6,2.58,0.31,0.75,0
Team20,Team11,2.39,2.6,0.58,0.6,1
Team4,Team48,1.62,2.31,0.83,0.66,0
Team37,Team39,1.53,2.24,0.3,0.67,0
Team4,Team46,0.73,1.97,0.59,0.69,0
Team24,Team38,1.95,1.9,0.64,0.66,1
Team34,Team30,2.51,1.17,0.8,0.6,2
Team46,Team19,0.65,1.34,0.77,0.72,0
Team31,Team37,1.79,1.6,0.39,0.5,1
Team33,Team18,1.43,0.66,0.78,0.76,2
Team45,Team33,1.55,2.09,0.77,0.37,1
Team6,Team48,2.6,1.46,0.64,0.65,2
Team10,Team3,0.57,0.56,0.8,0.46,2
Team17,Team46,2.46,0.64,0.81,0.44,2
Team5,Team30,1.65,1.7,0.56,0.86,0
Team36,Team6,2.08,0.62,0.84,0.85,2
Team24,Team37,2.41,0.9,0.67,0.38,2
Team31,Team20,2.14,2.89,0.34,0.33,0
Team30,Team22,1.15,1.12,0.84,0.45,2
Team16,Team17,2.4,1.62,0.77,0.34,2
Team45,Team36,0.58,0.66,0.84,0.38,2
Team4,Team34,2.43,0.72,0.44,0.74,2
Team11,Team21,0.82,2.71,0.54,0.8,0
Team14,Team38,2.95,1.14,0.69,0.42,2
Team24,Team50,1.66,2.93,0.67,0.51,0
Team41,Team33,0.88,1.06,0.45,0.81,0
Team33,Team17,2.95,1.07,0.54,0.63,2
Team39,Team22,1.87,2.03,0.44,0.81,0
Team10,Team22,0.85,2.16,0.43,0.36,0
Team16,Team49,1.65,2.37,0.47,0.77,0
Team38,Team10,2.95,2.48,0.6,0.5,2
Team21,Team20,1.86,2.4,0.75,0.31,1
Team40,Team21,2.15,0.9,0.45,0.87,2
Team40,Team28,2.43,0.57,0.34,0.58,2
Team8,Team45,1.85,1.74,0.36,0.69,1
Team25,Team44,2.44,2.91,0.42,0.61,0
Team24,Team29,2.39,1.19,0.49,0.69,2
Team15,Team49,2.74,1.8,0.57,0.63,2
Team2,Team8,2.03,1.41,0.84,0.4,2
Team38,Team33,2.0,0.58,0.52,0.74,2
Team48,Team43,1.28,2.5,0.88,0.81,0
Team9,Team13,2.35,1.3,0.89,0.59,2
Team21,Team31,2.09,0.91,0.83,0.56,2
Team27,Team5,1.9,1.82,0.73,0.83,1
Team5,Team36,0.97,2.65,0.79,0.62,0
Team19,Team45,2.97,2.75,0.69,0.49,2
Team24,Team35,2.55,2.7,0.62,0.45,1
Team28,Team26,0.75,1.1,0.39,0.51,0
Team47,Team18,2.37,2.13,0.67,0.51,2
Team5,Team45,1.68,2.95,0.68,0.38,0
Team16,Team35,1.31,2.22,0.34,0.4,0
Team9,Team21,1.07,2.59,0.47,0.69,0
Team4,Team26,1.04,1.4,0.34,0.76,0
Team46,Team14,2.76,1.08,0.78,0.34,2
Team15,Team19,2.13,2.69,0.3,0.4,0
Team34,Team47,1.65,2.66,0.63,0.53,0
Team30,Team14,1.7,0.55,0.55,0.32,2
Team38,Team23,0.82,2.27,0.88,0.8,0
Team19,Team9,2.6,2.95,0.67,0.64,0
Team19,Team48,1.62,1.05,0.37,0.34,2
Team17,Team31,0.62,1.92,0.47,0.79,0
Team35,Team42,1.25,2.36,0.33,0.84,0
Team8,Team2,2.17,1.98,0.84,0.41,2
Team16,Team30,2.6,1.21,0.56,0.46,2
Team46,Team21,1.8,0.66,0.8,0.66,2
Team33,Team9,2.77,2.17,0.8,0.83,2
Team1,Team9,1.79,1.58,0.49,0.56,1
Team47,Team15,2.0,2.73,0.57,0.66,0
Team38,Team20,2.47,2.1,0.71,0.38,2
Team4,Team23,2.47,2.93,0.46,0.46,0
Team27,Team42,1.77,2.09,0.34,0.45,0
Team17,Team12,2.01,2.77,0.44,0.58,0
Team29,Team46,1.71,0.99,0.67,0.47,2
Team49,Team13,1.84,2.64,0.33,0.8,0
Team20,Team34,1.35,2.51,0.64,0.61,0
Team43,Team41,1.49,0.72,0.67,0.37,2
Team39,Team42,0.57,2.19,0.33,0.57,0
Team46,Team45,1.49,1.55,0.55,0.84,0
Team45,Team12,2.19,1.24,0.73,0.87,2
Team5,Team9,2.66,0.51,0.73,0.8,2
Team49,Team47,2.68,1.14,0.7,0.78,2
Team36,Team18,0.73,1.99,0.63,0.84,0
Team12,Team16,2.37,1.53,0.69,0.69,2
Team11,Team14,0.53,2.09,0.85,0.67,0
Team28,Team3,2.31,0.8,0.84,0.34,2
Team16,Team31,0.86,0.53,0.55,0.48,2
Team1,Team46,1.5,2.78,0.78,0.43,0
Team25,Team23,2.54,0.67,0.53,0.81,2
Team36,Team35,0.69,1.86,0.82,0.65,0
Team44,Team34,1.46,1.63,0.65,0.76,1
Team23,Team41,2.72,0.53,0.52,0.32,2
Team33,Team24,1.44,0.92,0.56,0.39,2
Team1,Team2,2.87,1.35,0.61,0.53,2
Team35,Team44,1.46,2.48,0.66,0.36,0
Team5,Team9,1.41,1.04,0.89,0.57,2
Team4,Team50,0.85,1.71,0.32,0.6,0
Team11,Team46,1.46,0.6,0.32,0.53,2
Team42,Team6,2.39,1.65,0.47,0.84,2
Team37,Team43,1.44,1.69,0.57,0.9,0
Team9,Team50,0.72,2.02,0.39,0.32,0
Team32,Team49,2.43,2.95,0.59,0.62,0
Team45,Team22,1.12,2.6,0.51,0.8,0
Team45,Team50,1.77,2.19,0.44,0.8,0
Team4,Team1,1.95,0.85,0.57,0.68,2
Team11,Team37,1.5,2.98,0.83,0.67,0
Team24,Team19,1.0,1.49,0.32,0.59,0
Team36,Team19,0.83,1.98,0.66,0.51,0
Team47,Team12,0.59,2.36,0.63,0.33,0
Team20,Team42,2.69,2.86,0.39,0.58,0
Team48,Team44,1.71,2.66,0.65,0.53,0
Team38,Team11,1.01,2.4,0.53,0.61,0
Team50,Team17,2.66,2.95,0.54,0.8,0
Team47,Team4,2.52,1.69,0.9,0.34,2
Team45,Team17,2.1,1.25,0.44,0.49,2
Team3,Team6,1.78,2.07,0.86,0.31,1
Team32,Team22,2.22,2.31,0.72,0.38,1
Team21,Team16,2.55,1.33,0.74,0.62,2
Team30,Team48,2.98,1.0,0.9,0.35,2
Team30,Team7,0.61,1.35,0.68,0.34,0
Team13,Team41,2.84,2.55,0.79,0.83,1
Team35,Team2,0.76,1.5,0.73,0.47,0
Team4,Team31,0.56,1.27,0.63,0.68,0
Team13,Team46,2.24,0.52,0.36,0.82,2
Team2,Team41,0.78,2.61,0.45,0.59,0
Team2,Team3,2.28,2.17,0.43,0.82,1
Team3,Team9,1.23,0.88,0.46,0.31,2
Team39,Team40,1.07,2.1,0.89,0.66,0
Team19,Team26,0.81,2.72,0.6,0.57,0
Team10,Team37,2.06,0.68,0.71,0.45,2
Team28,Team47,2.56,2.51,0.63,0.61,1
Team13,Team24,2.3,1.5,0.4,0.83,2
Team34,Team11,1.18,1.51,0.36,0.41,0
Team29,Team26,2.29,1.98,0.84,0.65,2
Team8,Team42,1.35,2.85,0.35,0.86,0
Team1,Team44,1.18,2.61,0.49,0.77,0
Team15,Team13,1.56,1.44,0.86,0.71,1
Team17,Team24,1.73,1.47,0.68,0.72,1
Team10,Team48,0.92,2.28,0.7,0.88,0
Team44,Team11,2.88,2.26,0.48,0.36,2
Team19,Team20,2.11,0.62,0.52,0.87,2
Team28,Team42,1.69,0.78,0.68,0.76,2
Team41,Team7,2.42,1.54,0.79,0.81,2
Team16,Team9,2.14,1.68,0.83,0.43,2
Team45,Team23,2.02,1.24,0.38,0.69,2
Team18,Team3,1.29,2.11,0.54,0.73,0
Team1,Team37,0.71,0.61,0.7,0.79,1
Team10,Team45,0.75,2.22,0.45,0.85,0
Team2,Team23,2.27,2.87,0.32,0.74,0
Team38,Team17,2.77,1.17,0.73,0.83,2
Team26,Team39,2.41,1.64,0.46,0.43,2
Team28,Team12,0.81,0.54,0.76,0.78,1
Team34,Team38,1.16,0.54,0.48,0.76,2
Team7,Team13,0.5,1.25,0.69,0.88,0
Team47,Team9,1.87,2.57,0.66,0.47,0
Team45,Team22,0.88,2.75,0.73,0.86,0
Team34,Team28,1.68,0.65,0.7,0.65,2
Team40,Team9,1.1,1.83,0.69,0.69,0
Team32,Team28,2.44,1.01,0.74,0.67,2
Team26,Team25,2.45,1.95,0.39,0.79,1
Team40,Team4,1.47,2.19,0.46,0.51,0
Team38,Team24,2.31,1.85,0.34,0.71,1
Team26,Team50,2.83,1.74,0.44,0.33,2
Team33,Team39,1.82,1.1,0.6,0.71,2
Team5,Team7,1.19,2.52,0.58,0.63,0
Team13,Team32,0.61,0.91,0.57,0.43,1
Team43,Team45,2.61,2.95,0.78,0.81,0
Team28,Team45,2.9,0.99,0.87,0.9,2
Team26,Team12,1.15,1.59,0.66,0.34,1
Team18,Team27,0.54,2.57,0.74,0.51,0
Team17,Team44,1.49,2.88,0.88,0.54,0
Team42,Team8,2.43,1.27,0.44,0.57,2
Team17,Team21,1.91,2.43,0.6,0.31,1
Team10,Team37,1.39,2.82,0.44,0.68,0
Team24,Team43,1.3,2.62,0.74,0.36,0
Team37,Team27,0.57,1.7,0.7,0.37,0
